title,company,location,description,created,category
Senior Data Scientist / Machine Learning Expert,ASML,"Veldhoven, Noord-Brabant","Are you the experienced data Introduction Are you the experienced datascientist that can generate actionable insights from Big Data by advancedmodeling? Are you able to identify, develop and apply the most effective and robust machinelearning approach to analyze complex machine data and apply the results toimprove performance and diagnostics capabilities? Do you consider it part ofyour job to inspire others and share your knowledge with your colleagues, thenread on Job Mission As a Senior Data …",2023-12-18T12:35:47Z,Machine Learning
Data Science and Machine Learning Internship,ASML,"Veldhoven, Noord-Brabant","We make machines that make chips the hearts Introduction We make machines that make chips – the heartsof the devices that keep us informed, entertained and safe; that improve ourquality of life and help to tackle the world’s toughest problems. We build some of the most amazing machines thatyou will ever see, and the software to run them. Never satisfied, we measureour performance in units that begin with pico or nano. We believe we canalways do better. We believe the winning idea can come from …",2023-12-18T12:35:47Z,Machine Learning
Data Scientist,eTeam,"Veldhoven, Noord-Brabant","Role: Data Scientists Salary : 103k per annum  holidays Contract Position Duration : 11-Aug-2025 - 28-Feb-2026 Remote in the Netherlands with a Valid work visa Description: You will work in Data & Analytics together with other Data Scientists, Data Engineers, Data Analysts, Machine Learning Engineers, Data Stewards and Data Architects. Together you will be joining cross-functional teams consisting of colleagues from Technology, Product and Design from the business domain of Business Support. We…",2025-07-31T22:44:49Z,Machine Learning
Graduation assignment: Finding patterns in scanner data for wafer output optimization,ASML,"Veldhoven, Noord-Brabant","Are you curious about searching and finding the pros and cons of the High Performance Cluster and KNIME software in collaboration with ASML employees to build machine learning mode Introduction Are you curious about searching and finding the pros and cons of the High Performance Cluster and KNIME software in collaboration with ASML employees to build machine learning models? Then this graduation assignment could be interesting for you. Job Mission ASML designs, develops and integrates markets a…",2023-12-18T12:35:50Z,Machine Learning
Operations Performance Analyst,ASML,"Veldhoven, Noord-Brabant",Are you challenged: By improving processes based on Performance analytics?-By applying AI and BI technologies to improve process efficiency?-By being the front runner i Introduction Are you challenged: -By improving processes based on Performance analytics? -By applying AI and BI technologies to improve process efficiency? -By being the front runner in applying Performance analytics in our processes? -By generating actionable insights from Big Data by advanced modeling? -By inspiring others and…,2023-12-18T12:35:46Z,Machine Learning
Senior Java Developer,ASML,"Veldhoven, Noord-Brabant","When people think software, they often think of companies like Google or Microsoft. Even though ASML is classified as a hardware company, we in fact have one of the worlds large Introduction When people think ‘software’, they often think of companies like Google or Microsoft. Even though ASML is classified as a hardware company, we, in fact, have one of the world´s largest and most pioneering Java communities. The ASML Java environment is extremely attractive for prospective Java engineers beca…",2023-12-18T12:35:49Z,Machine Learning
Python Developer,Signify Technology,"Veldhoven, Noord-Brabant","Remote (UK/EU) | £500 a day | 6 Months | Outside IR35 | Start ASAP Backend Engineer Contractor Python / AI Developer We’re supporting an early-stage, AI-first startup backed. They’re building smart using LLM-powered tools and looking for a seasoned Python backend contractor to help scale things up and ship fast. What You’ll Be Doing: Building backend systems with Python Integrating ML tools (LangChain, LlamaIndex, etc.) Working closely with product and design Shipping clean, scalable code in a …",2025-07-09T07:12:16Z,Backend Developer
DevOps Engineer,Cross Border Talents,"Veldhoven, Noord-Brabant","Currently, Cross Border Talents are in search of a DevOps Engineer for one of our clients in the Netherlands. The company in question is a renowned Dutch agency specialized in the recruitment and relocation of technical specialists for the Netherlands. Some of the names they work with include clients like ASML, VDL, DAF Trucks, Siemens and many more. For one of their projects for a company which is an international innovation leader in the semiconductor industry, they are looking for a DevOps E…",2023-04-09T18:13:14Z,DevOps
Software Development Tools Specialist (DevOps),ASML,"Veldhoven, Noord-Brabant","We are looking for a medior/senior Software Development Tools Specialist, a person who can take up hands-on technical lead for different tools facilitating. Introduction We are looking for a medior/senior Software Development Tools Specialist, a person who can take up hands-on technical lead for different tools facilitating for the so-called EUV Source software development environment. Job Mission Maintain and modify the implementation of tools and way of working for the EUV Source environment,…",2023-12-18T12:35:50Z,DevOps
Full Stack Engineer,Square One Resources,"Veldhoven, Noord-Brabant","Are you passionate about solving complex problems with clean, scalable code? Do you thrive in a dynamic, project-based environment where learning never stops? We’re looking for an experienced Full stack Developer to join our clients growing team of dedicated professionals hybrid in The Randstad. At their core, they develop full-stack Java-based solutions for a wide range of clients—from startups to established enterprises. Their projects are driven by data, powered by predictive algorithms, and…",2025-08-01T03:02:08Z,DevOps
Generative AI Architect - Freelance,Cognitive Group | Part of the Focus Cloud Group,"Veldhoven, Noord-Brabant","GenAI Architect Role Overview: This role focuses on designing and implementing the end-to-end GenAI architecture, from LLM integration to deployment and scaling. The architect will not manage products but instead focus on technical leadership, especially in integrating GenAI systems into hyperscaler environments with enterprise-grade scalability and performance. Key Responsibilities: Lead the technical design and system architecture for GenAI solutions, including: LLM hosting/inference strategi…",2025-08-01T02:59:58Z,DevOps
Remote Business Central Developer,LikeMind Recruitment,"Veldhoven, Noord-Brabant","Business Central Developer (m/f/d) – Hybrid, Netherlands Exciting news Our client is hiring! They’re a well-established IT solutions provider specialising in Microsoft Dynamics 365 Business Central and related Microsoft technologies, including Power Platform, Azure, and Office 365. They deliver development, project implementation, and customised ERP solutions for mid-sized businesses and enterprises across the Benelux. With a focus on growth and innovation, they’re now looking to bring a full-t…",2025-08-01T03:00:40Z,DevOps
Data Scientist,eTeam,"Veldhoven, Noord-Brabant","Role: Data Scientists Salary : 103k per annum  holidays Contract Position Duration : 11-Aug-2025 - 28-Feb-2026 Remote in the Netherlands with a Valid work visa Description: You will work in Data & Analytics together with other Data Scientists, Data Engineers, Data Analysts, Machine Learning Engineers, Data Stewards and Data Architects. Together you will be joining cross-functional teams consisting of colleagues from Technology, Product and Design from the business domain of Business Support. We…",2025-07-31T22:44:49Z,DevOps
C#.NET Developer,Ndus3,"Veldhoven, Noord-Brabant","Je wil je ontwikkelen, net als wij. Groeien en zoveel mogelijk ervaring opdoen, zodat je de beste punten eruit mee kunt nemen en kunt gebruiken om je ambities waar te maken. Dat vinden wij leuk man! Dus gaan wij jou helpen met onbeperkt leren, ja dat staat er echt. Daarnaast gaan we ervoor zorgen dat je je hier helemaal thuis voelt. Wij zijn op zoek naar een C#.NET Software Developer die enthousiast is en zowel goed in teamverband als zelfstandig kan werken. Je wordt onderdeel van het ontwikkel…",2025-07-23T19:03:16Z,DevOps
Platform Engineer,Bizzdesign,"Veldhoven, Noord-Brabant","Are you looking for an exciting opportunity within a dynamic international company making an impact globally? We might have the perfect match for you! Who are we? Bizzdesign is a SaaS company with 25 years in the Enterprise Architecture and Strategic Portfolio Management industries, with our HQ in Enschede. Our platform helps large enterprises, including Fortune 500 companies, make better decisions through Enterprise Architecture. We recently acquired Alfabet and MEGA International, expanding o…",2025-07-09T07:11:38Z,DevOps
VDI Engineer,ASML,"Veldhoven, Noord-Brabant","Introduction to the job The role will be situated in the Agile Release Train below: Digital Workplace (DW) Digital Workplace provides workplace services for ASML staff world-wide as well as to 3rd party Suppliers. This includes laptops, special purpose devices, mobile device management, worldwide virtual desktops and Collaboration & Productivity services such as Office 365, Webcast, Intranet & Search and various other collaboration tools As VDI Engineer you're co-responsible for the operational…",2025-07-31T09:10:59Z,DevOps
Senior Java Developer,Cross Border Talents,"Veldhoven, Noord-Brabant","Currently, Cross Border Talents are in search of a Senior Java Developer for one of our clients in the Netherlands. The company in question is a renowned Dutch agency specialized in the recruitment and relocation of technical specialists for the Netherlands. Some of the names they work with include clients like ASML, VDL, DAF Trucks, Siemens and many more. For one of their projects for an international innovation leader in the semiconductor industry, they are looking for a Java Developer. You’l…",2023-05-02T16:48:45Z,DevOps
Security Engineer Firewall,Simac,"Veldhoven, Noord-Brabant","Wat jij gaat doen Neem jij jouw diploma binnenkort in handen of heb je nu net een tussenjaar gehad? Dan hebben we een leuke plek voor jou bij onze security afdeling! Als kloppend hart van een organisatie is de beveiliging middels firewalling een key positie! Grote namen zoals Jumbo, Primera, PSV, een tal van zorgklanten en nog veel meer vallen onder jouw hoede, samen met je collega’s. Als Security Engineer bij Simac zorg jij voor de veiligheid van onze IT-dienstverlening. Je werkt nauw samen me…",2025-04-06T05:51:58Z,DevOps
Software Engineer (Remote) - Java/Angular,Doghouse Recruitment,"Veldhoven, Noord-Brabant","Full-Stack Engineer · Java/Spring Boot & Angular · Remote Europe · Up To €65K  Benefits Are you a hands-on engineer who enjoys building useful products and solving real problems for modern, distributed teams? Want to work in a fast-moving SaaS environment that values flexibility, ownership, and async communication? Join a fully remote company that’s redefining how global teams handle business travel and employee mobility. With products already live in Vacations, Business Travel, and Visas, they…",2025-08-01T02:59:35Z,DevOps
IGA Developer,Axiom Software Solutions Limited,"Veldhoven, Noord-Brabant",Job Mission As IGA Developer with strong consultancy skills and competences you are part of an Agile team responsible for the development and configuration of our IAM IGA tools. You are owning the technical design of IGA in the IAM landscape and as such you are taking the technical lead in the development of IGA in ASML while supporting the onboarding of applications and other changes and automation based on standardization. All of this includes guidance to an offshore team. The IGA Developer w…,2025-04-07T19:52:35Z,DevOps
Cryptography Developer,Axiom Software Solutions Limited,"Veldhoven, Noord-Brabant","As a Crypto Engineer with strong consultancy skills and competences, you are part of a Scrum Team (SAFe) managing and operating our IAM Crypto landscape. The Crypto environment is newly setup within the IAM. Originally it was “only“ PKI, Key-Management is now added and we are working on implementing a new CLM. The team is owning the technical design, development and operation of cryptography and everything related to certificates. Automation is a key strategy of ASML IT, enhanced by self-servic…",2025-04-08T10:50:09Z,DevOps
Product Manager,GS1,"Veldhoven, Noord-Brabant","GS1 offers a portfolio of services and tools to make the adoption of our standards for industry easier and more impactful. The Product Manager GS1 Data Services will be responsible for delivering GS1 Data Services towards the product vision of the GS1 Federation. The position will have a global responsibility for all product-related aspects. As the Product Manager, you combine strategic thinking with a strong focus on execution for delivering outstanding product experiences that achieve organis…",2025-08-01T03:01:49Z,DevOps
Teamcenter Security Architect/Technical Lead,ASML,"Veldhoven, Noord-Brabant","Introduction to the job Our PLM and Configuration Management department is responsible for delivering solutions that push the limits of technology to unlock the business value of digital design and Product Lifecycle Management (PLM). We deliver cutting-edge PLM solutions to solve some of ASML’s toughest challenges. Together with our partners, and based on global best practices, we deliver the digital foundation of product innovation. In this role you'll be the bridge between the PLM functional …",2025-07-01T13:09:20Z,DevOps
Solution Architect - Microsoft D365 F&O (Remote),HEF associates,"Veldhoven, Noord-Brabant","For a trusted client, we are looking for a Solution Architect to join a young growing scaleup who is active in a niche market for which they developed a market specific solution. The solution is the best solution available within this specific market and because they are getting more traction, they are needing to grow the team. Our client is growing throughout the whole of Europe, and has a remote team working from a variety of countries which means this job is remote with travel to clients thr…",2025-07-17T08:08:28Z,DevOps
Cloud Infrastructure Engineer,BDO,"Veldhoven, Noord-Brabant","About BDO BDO is the leading mid-tier professional services provider globally. In 2024, our core service lines (Audit & Assurance, Tax, Advisory, and Business Services & Outsourcing) generated annual revenues of over US$15 billion. With a worldwide community of over 119k professionals operating in 166 countries and territories, we’re dedicated to helping our clients navigate complex financial and strategic challenges, aligned to our core purpose ‘ People helping people. ’ Why join us? A great p…",2025-06-12T22:07:03Z,DevOps
Data Scientist,eTeam,"Veldhoven, Noord-Brabant","Role: Data Scientists Salary : 103k per annum  holidays Contract Position Duration : 11-Aug-2025 - 28-Feb-2026 Remote in the Netherlands with a Valid work visa Description: You will work in Data & Analytics together with other Data Scientists, Data Engineers, Data Analysts, Machine Learning Engineers, Data Stewards and Data Architects. Together you will be joining cross-functional teams consisting of colleagues from Technology, Product and Design from the business domain of Business Support. We…",2025-07-31T22:44:49Z,Data Analyst
Data Architectuur Specialist (Data Modelleur / Data Architect),CIMSOLUTIONS,"Veldhoven, Noord-Brabant","Als Data Architectuur Specialist ben je verantwoordelijk voor het ontwerpen, ontwikkelen, beheren en implementeren van datamodellen en de data-architectuur bij of voor onze gerenommeerde klanten waaronder Belastingdienst, Gemeente Den Haag, diverse ministeries, Centraal Justitieel Incassobureau of VGZ. Afhankelijk van het ervaringsniveau ligt de focus op verschillende aspecten van datamodellering en data-architectuur. Waarom past deze vacature bij jou? Als Data Architectuur Specialist speel jij…",2025-07-09T07:11:50Z,Data Analyst
Data and Use-Case Analyst – SupTech Solutions,NTU International A/S,"Veldhoven, Noord-Brabant","Data and Use-Case Analyst – SupTech Solutions Location: Europe Duration: Short- to medium-term Estimated Workload: Short-term assignments / task-based consultancy About the Opportunity: We are creating a pool of Data and Use-Case Analysts – SupTech Solutions for a new FWC Contract: EC-SG REFORM/2025/OP/0001: Provision of consultancy services to support the design, development, implementation, monitoring and evaluation of structural reforms in EU Member State. Experts in this pool will be contac…",2025-07-09T01:10:24Z,Data Analyst
Lead C++ Software Engineer (Gameplay),Playrix,"Veldhoven, Noord-Brabant","Playrix — одна из самых успешных компаний по разработке мобильных игр в мире. По доходам среди всех мобильных приложений мы входим в топ-3 в мире, а в Европе мы первые. Наши игры установили 2,3 миллиарда раз (треть населения Земли), каждый день в них играет более 30 миллионов людей по всему миру! У нас большие планы на развитие и рост наших проектов, именно поэтому мы ищем сильнейших экспертов в наши команды разработки. При этом опыт работы на С и/или в геймдеве совсем необязателен: у нас отлич…",2025-04-24T23:33:49Z,Software Engineer
Software Engineer (Remote) - Java/Angular,Doghouse Recruitment,"Veldhoven, Noord-Brabant","Full-Stack Engineer · Java/Spring Boot & Angular · Remote Europe · Up To €65K  Benefits Are you a hands-on engineer who enjoys building useful products and solving real problems for modern, distributed teams? Want to work in a fast-moving SaaS environment that values flexibility, ownership, and async communication? Join a fully remote company that’s redefining how global teams handle business travel and employee mobility. With products already live in Vacations, Business Travel, and Visas, they…",2025-08-01T02:59:35Z,Software Engineer
Senior C++ Software Engineer (Gameplay),Playrix,"Veldhoven, Noord-Brabant","Playrix — одна из самых успешных компаний по разработке мобильных игр в мире. По доходам среди всех мобильных приложений мы входим в топ-3 в мире, а в Европе мы первые. Наши игры установили 2,3 миллиарда раз (треть населения Земли), каждый день в них играет более 30 миллионов людей по всему миру! У нас большие планы на развитие и рост наших проектов, именно поэтому мы ищем сильнейших экспертов в наши команды разработки. При этом опыт работы на С и/или в геймдеве совсем необязателен: у нас отлич…",2025-04-24T23:33:47Z,Software Engineer
Junior Projectleider,Regel Partners B.V. - System Integrators met inhoud,"Veldhoven, Noord-Brabant","Gebouwen worden steeds slimmer en dat maakt de wereld van Regel Partners enorm uitdagend! Onze organisatie automatiseert en visualiseert alle denkbare installaties in en rondom gebouwen. Wij houden van toonaangevende, aansprekende en duurzame projecten. Jij ook? Als Junior Projectleider ben je verantwoordelijk voor het verrichten van de werkvoorbereiding en (software) engineering van projecten en het daarbij realiseren en calculeren van meer- en minderwerk. Je bent een belangrijke schakel in he…",2025-07-09T07:12:11Z,Software Engineer
Senior Software Design Engineer,ASML,"Veldhoven, Noord-Brabant","ASML is leading in the worldwide development, production, sales of high end lithography systems for the semiconductor industry. Worldwide over 20.000 people work at AS ASML is leading in the worldwide development, production and sales of high end lithography systems for the semiconductor industry. Worldwide over 20.000 people work at ASML, with important settlings in the United States, Asia and the head office in Veldhoven. The employees of ASML share the passion for technology with a customer …",2023-12-18T12:35:50Z,Software Engineer
Master/PhD in Computer Science,Innodata Inc.,"Veldhoven, Noord-Brabant","Job Title: AI Trainer (LLM Training – Computer Science Domain) Location: Remote About the Role: We are seeking highly qualified individuals with a Master’s or PhD in Computer Science to join our AI development team as AI Trainers . In this role, you will use your deep technical knowledge to evaluate, annotate, and provide structured feedback on AI-generated content produced by Large Language Models (LLMs). Your expertise will bring a level of precision, technical depth, and computational reason…",2025-07-23T19:03:04Z,Software Engineer
Software Design Engineer for Metrology,ASML,"Veldhoven, Noord-Brabant",Are you an expert in requirements engineering and challenged by translating functional requirements into lean software designs?Do you combine strong analytical reasoning and concep Introduction Are you an expert in requirements engineering and challenged by translating functional requirements into lean software designs?Do you combine strong analytical reasoning and conceptual understanding with excellent communication skills? Job Mission Metrology software orchestrates the behavior of powerful …,2023-12-18T12:35:48Z,Software Engineer
Recruitment Consultant,Orange Quarter,"Veldhoven, Noord-Brabant","Orange Quarter is looking for a Recruitment Consultant to join a high performing team recruitment team in Amsterdam. We work with some of Amsterdam's best-known startups and scale ups to help them hire across AI, Data, Software Engineering and Product. As a Recruitment Consultant, you might not have previous recruitment experience however, the ideal candidate will at least have a strong understanding of sales and relationship building. You will need to be confident in building relationships, wh…",2025-08-01T03:01:23Z,Software Engineer
Scrum Master - Embedded Software Design Engineering,ASML,"Veldhoven, Noord-Brabant",Would you like to be the leader of a team of 10 to 12 people whose mission is to develop software for one of our products in an AGILE/SAFe environment? Are you the self-starter who Introduction Would you like to be the leader of a team of 10 to 12 people whose mission is to develop software for one of our products in an AGILE/SAFe environment? Are you the self-starter who can deliver successfully although you do not have all the requirements at the start? Do you like to cooperate with physicist…,2024-02-13T13:02:07Z,Software Engineer
Javascript Developer,La Fosse,"Veldhoven, Noord-Brabant","Senior JavaScript / Node.js Engineer Location: Hybrid/Remote options (Netherlands) Salary: €5,800 – €7,200 per month (based on 40h/week) A fast-moving product company based in the Netherlands is looking for a Senior JavaScript / Node.js Engineer to join their growing tech team. You’ll work on high-impact digital platforms used across Europe, with a strong focus on performance, scalability, and clean architecture. You’ll play a key role in building back-end services using Node.js and TypeScript,…",2025-07-09T07:11:50Z,Software Engineer
.NET Fullstack Developer,OBSS,"Veldhoven, Noord-Brabant","We are looking for a skilled .NET Fullstack Developer with a strong background in projects to contribute to the design, development, and maintenance of our payment service software applications. You will work closely with cross-functional teams to deliver high-quality solutions that meet the unique needs of our payment systems client. QUALIFICATIONS Bachelor's degree in Computer Science, Software Engineering, or a related field, Senior Full Stack: NET core 3.1 or .NET 6 (8yrs exp), React( 6yrs …",2025-07-31T22:44:51Z,Software Engineer
Yieldstar Product Architect,ASML,"Veldhoven, Noord-Brabant",Do you like working on cutting edge metrology systems? Working on the forefront on what is possible and realizing Moore's law? Then check this out Job Mission Translate the product requirements for the YieldStar system and its applications into software specific requirements and update the software architecture. Job Description You will build a thorough knowledge of the YieldStar products developed in the Applications Business Line; and participate in the definition of these products. You will …,2024-02-13T13:02:07Z,Software Engineer
Graduation assignment: Data mining to pro-actively detect issues,ASML,"Veldhoven, Noord-Brabant",This is a graduation assignment for a master's student in Software Engineering or a related field. Introduction This is a graduation assignment for a master's student in Software Engineering or a related field. Job Mission Reliability of software is very important for our customers. However we don’t know all issues which occur at customer locations and we only react to issues which are being escalated (re-actively). Job Description Our installed base is very large and contains a lot of informat…,2024-02-13T13:02:08Z,Software Engineer
Graduation assignment: Identify requirements and the optimal solution for simulation batching,ASML,"Veldhoven, Noord-Brabant","Are you a Bachelor student in Computer Science, Software Engineering or Physics and looking for a graduation assignment? Then this internship might be interesting for you. Introduction Are you a Bachelor student in Computer Science, Software Engineering or Physics and looking for a graduation assignment? Then this internship might be interesting for you. Job Mission The Imaging groups in ASML use simulation tools to predict the imaging performance of the ASML products. Due to an increasing numb…",2023-12-18T12:35:46Z,Software Engineer
Data Scientist,eTeam,"Veldhoven, Noord-Brabant","Role: Data Scientists Salary : 103k per annum  holidays Contract Position Duration : 11-Aug-2025 - 28-Feb-2026 Remote in the Netherlands with a Valid work visa Description: You will work in Data & Analytics together with other Data Scientists, Data Engineers, Data Analysts, Machine Learning Engineers, Data Stewards and Data Architects. Together you will be joining cross-functional teams consisting of colleagues from Technology, Product and Design from the business domain of Business Support. We…",2025-07-31T22:44:49Z,Software Engineer
Front end Developer,CIMSOLUTIONS,"Veldhoven, Noord-Brabant","Als Front-end Developer ben je verantwoordelijk voor het ontwikkelen en onderhouden van gebruiksvriendelijke en visueel aantrekkelijke interfaces voor webapplicaties. Je werkt nauw samen met UX/UI-designers en back-end developers om designs te vertalen naar functionele en responsieve interfaces. Daarnaast draag je bij aan het verbeteren van de gebruikerservaring en performance van de applicaties. Dit doe je bij of voor onze gerenommeerde klanten waaronder Belastingdienst, Gemeente Den Haag, Cen…",2025-07-09T07:11:39Z,Software Engineer
Graduation assignment: Boost Usability of myChange Software as UX / UI Designer,ASML,"Veldhoven, Noord-Brabant","Youare a Master or a Bachelor student in a University of Applied Sciences orUniversity in Software Engineering/Computer Science who is looking for a graduation assignment? Introduction You are a Master or a Bachelor student in a University of Applied Sciences or University in Software Engineering/Computer Science who is looking for a graduation assignment. Job Mission ASML’s machineschange 60% for each new version. For all changes costs, benefit, timing, anddependencies are taken into account. …",2023-10-20T13:24:53Z,Software Engineer
IT Software Configuration Management Architect,ASML,"Veldhoven, Noord-Brabant","Founded in 1984, ASML is the world's leading provider of lithography systems for the semiconductor industry, manufacturing complex machines that are critical to the production of i Introduction Founded in 1984, ASML is the world's leading provider of lithography systems for the semiconductor industry, manufacturing complex machines that are critical to the production of integrated circuits or chips. ASML has its R&D and manufacturing operations in Wilton, Connecticut and in Veldhoven, the Nethe…",2023-12-18T12:35:47Z,Software Engineer
